n,groups,split,source,col
70,6,train,S2,business_name
71,6,train,S2,business_name
72,3,train,S2,business_name
73,5,train,S2,business_name
74,8,train,S2,business_name
75,4,train,S2,business_name
76,4,train,S2,business_name
77,3,train,S2,business_name
78,3,train,S2,business_name
79,6,train,S2,business_name
80,5,train,S2,business_name
81,4,train,S2,business_name
82,3,train,S2,business_name
83,2,train,S2,business_name
84,2,train,S2,business_name
85,1,train,S2,business_name
86,2,train,S2,business_name
87,3,train,S2,business_name
89,2,train,S2,business_name
90,1,train,S2,business_name
92,1,train,S2,business_name
98,1,train,S2,business_name
101,1,train,S2,business_name
102,1,train,S2,business_name
108,1,train,S2,business_name
110,2,train,S2,business_name
121,2,train,S2,business_name
123,1,train,S2,business_name
126,1,train,S2,business_name
131,1,train,S2,business_name
133,1,train,S2,business_name
138,1,train,S2,business_name
143,1,train,S2,business_name
149,1,train,S2,business_name
155,1,train,S2,business_name
157,1,train,S2,business_name
158,1,train,S2,business_name
172,1,train,S2,business_name
189,1,train,S2,business_name
192,1,train,S2,business_name
197,1,train,S2,business_name
200,1,train,S2,business_name
220,1,train,S2,business_name
268,1,train,S2,business_name
269,1,train,S2,business_name
274,1,train,S2,business_name
288,1,train,S2,business_name
296,1,train,S2,business_name
297,2,train,S2,business_name
307,1,train,S2,business_name
320,1,train,S2,business_name
1,4393333,train,S3,business_name
2,164347,train,S3,business_name
3,41199,train,S3,business_name
4,18382,train,S3,business_name
5,9720,train,S3,business_name
6,5652,train,S3,business_name
7,3549,train,S3,business_name
8,2302,train,S3,business_name
9,1672,train,S3,business_name
10,1354,train,S3,business_name
11,1134,train,S3,business_name
12,1074,train,S3,business_name
13,878,train,S3,business_name
14,815,train,S3,business_name
15,700,train,S3,business_name
16,635,train,S3,business_name
17,516,train,S3,business_name
18,427,train,S3,business_name
19,433,train,S3,business_name
20,399,train,S3,business_name
21,365,train,S3,business_name
22,338,train,S3,business_name
23,310,train,S3,business_name
24,238,train,S3,business_name
25,240,train,S3,business_name
26,180,train,S3,business_name
27,154,train,S3,business_name
28,132,train,S3,business_name
29,106,train,S3,business_name
30,93,train,S3,business_name
31,56,train,S3,business_name
32,54,train,S3,business_name
33,41,train,S3,business_name
34,41,train,S3,business_name
35,39,train,S3,business_name
36,28,train,S3,business_name
37,23,train,S3,business_name
38,25,train,S3,business_name
39,16,train,S3,business_name
40,16,train,S3,business_name
41,18,train,S3,business_name
42,23,train,S3,business_name
43,12,train,S3,business_name
44,17,train,S3,business_name
45,6,train,S3,business_name
46,12,train,S3,business_name
47,17,train,S3,business_name
48,7,train,S3,business_name
49,11,train,S3,business_name
50,8,train,S3,business_name
51,16,train,S3,business_name
52,12,train,S3,business_name
53,16,train,S3,business_name
54,11,train,S3,business_name
55,8,train,S3,business_name
56,11,train,S3,business_name
57,10,train,S3,business_name
58,19,train,S3,business_name
59,12,train,S3,business_name
60,7,train,S3,business_name
61,12,train,S3,business_name
62,4,train,S3,business_name
63,12,train,S3,business_name
64,12,train,S3,business_name
65,14,train,S3,business_name
66,11,train,S3,business_name
67,13,train,S3,business_name
68,4,train,S3,business_name
69,4,train,S3,business_name
70,5,train,S3,business_name
71,5,train,S3,business_name
72,7,train,S3,business_name
73,8,train,S3,business_name
74,9,train,S3,business_name
75,8,train,S3,business_name
76,5,train,S3,business_name
77,8,train,S3,business_name
78,8,train,S3,business_name
79,4,train,S3,business_name
80,4,train,S3,business_name
81,6,train,S3,business_name
82,7,train,S3,business_name
83,5,train,S3,business_name
84,4,train,S3,business_name
85,7,train,S3,business_name
86,6,train,S3,business_name
87,7,train,S3,business_name
88,3,train,S3,business_name
89,4,train,S3,business_name
90,3,train,S3,business_name
91,4,train,S3,business_name
92,2,train,S3,business_name
93,4,train,S3,business_name
94,5,train,S3,business_name
95,2,train,S3,business_name
96,1,train,S3,business_name
97,6,train,S3,business_name
98,4,train,S3,business_name
99,2,train,S3,business_name
100,2,train,S3,business_name
101,4,train,S3,business_name
102,9,train,S3,business_name
103,3,train,S3,business_name
104,4,train,S3,business_name
105,1,train,S3,business_name
106,1,train,S3,business_name
107,1,train,S3,business_name
108,2,train,S3,business_name
109,1,train,S3,business_name
110,2,train,S3,business_name
111,2,train,S3,business_name
112,1,train,S3,business_name
114,1,train,S3,business_name
115,1,train,S3,business_name
116,3,train,S3,business_name
117,1,train,S3,business_name
120,4,train,S3,business_name
122,3,train,S3,business_name
123,1,train,S3,business_name
126,1,train,S3,business_name
127,3,train,S3,business_name
130,2,train,S3,business_name
131,1,train,S3,business_name
132,2,train,S3,business_name
135,1,train,S3,business_name
136,1,train,S3,business_name
140,3,train,S3,business_name
142,1,train,S3,business_name
145,1,train,S3,business_name
146,1,train,S3,business_name
148,1,train,S3,business_name
149,1,train,S3,business_name
151,1,train,S3,business_name
153,1,train,S3,business_name
156,2,train,S3,business_name
160,2,train,S3,business_name
161,1,train,S3,business_name
162,1,train,S3,business_name
163,2,train,S3,business_name
166,1,train,S3,business_name
168,3,train,S3,business_name
172,1,train,S3,business_name
180,1,train,S3,business_name
185,1,train,S3,business_name
192,1,train,S3,business_name
197,1,train,S3,business_name
222,1,train,S3,business_name
231,1,train,S3,business_name
238,2,train,S3,business_name
240,1,train,S3,business_name
252,1,train,S3,business_name
254,1,train,S3,business_name
319,1,train,S3,business_name
321,1,train,S3,business_name
330,1,train,S3,business_name
361,1,train,S3,business_name
377,1,train,S3,business_name
379,1,train,S3,business_name
393,1,train,S3,business_name
399,1,train,S3,business_name
421,1,train,S3,business_name
