split,source,field,stage_no,stage,note,records,non_null,n_unique,records_changed,pct_changed,became_null,new_collision_keys,rows_in_new_collisions,cum_collision_keys,rows_in_cum_collisions,unique_reduction_vs_prev,pct_unique_reduction_vs_raw
train,S2,address,0,raw,original value,5034616,4865649,4337261,0,0.0,0,0,0,0,0,0,0.0
train,S2,address,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",5034616,4865649,4337260,1646,0.034,0,1,2,1,2,1,0.0
train,S2,address,2,lowercase,lower-case,5034616,4865649,4300741,4865649,100.0,0,36519,89533,36520,89535,36519,0.842
train,S2,address,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",5034616,4865649,4300097,107698,2.213,0,644,2004,37102,91321,644,0.857
train,S2,address,4,placeholder,drop whole segments NULL/null/<NULL>/N/A,5034616,4865649,4296201,306212,6.293,0,3838,9865,40808,100711,3896,0.947
train,S2,address,5,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",5034616,4865649,4282549,4865649,100.0,0,13283,33351,53621,132531,13652,1.261
train,S2,address,6,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),5034616,4865649,4282537,109,0.002,0,12,30,53632,132559,12,1.262
train,S2,name,0,raw,original value,5034616,5034616,4402009,0,0.0,0,0,0,0,0,0,0.0
train,S2,name,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",5034616,5034616,4402009,25646,0.509,0,0,0,0,0,0,0.0
train,S2,name,2,lowercase,lower-case,5034616,5034616,4287470,4289038,85.191,0,106080,432058,106080,432058,114539,2.602
train,S2,name,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",5034616,5034616,4192965,554392,11.012,0,87905,366495,167169,619436,94505,4.749
train,S2,name,4,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",5034616,5034616,4017017,1604176,31.863,0,140196,586755,258681,914912,175948,8.746
train,S2,name,5,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),5034616,5034616,3936904,290263,5.765,0,76179,404332,300087,1045476,80113,10.566
train,S2,name,6,legal_removed,"drop legal-form tokens  (= name_base, stored as extra representation)",5034616,5034576,3298543,3237628,64.307,40,418813,1900697,511293,2158607,638361,25.067
train,S3,address,0,raw,original value,5285603,5109687,4632764,0,0.0,0,0,0,0,0,0,0.0
train,S3,address,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",5285603,5109687,4632764,1437,0.028,0,0,0,0,0,0,0.0
train,S3,address,2,lowercase,lower-case,5285603,5109687,4632184,5109592,99.998,0,580,1416,580,1416,580,0.013
train,S3,address,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",5285603,5109687,4631186,4998,0.098,0,998,2482,1578,3898,998,0.034
train,S3,address,4,placeholder,drop whole segments NULL/null/<NULL>/N/A,5285603,5109687,4628326,175478,3.434,0,2767,8952,4337,12832,2860,0.096
train,S3,address,5,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",5285603,5109687,4612655,5109686,100.0,0,14046,40718,17911,50838,15671,0.434
train,S3,address,6,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),5285603,5109687,4612647,92,0.002,0,8,29,17919,50867,8,0.434
train,S3,name,0,raw,original value,5285603,5285603,4651609,0,0.0,0,0,0,0,0,0,0.0
train,S3,name,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",5285603,5285603,4651609,14515,0.275,0,0,0,0,0,0,0.0
train,S3,name,2,lowercase,lower-case,5285603,5285603,4579083,4711328,89.135,0,63318,275781,63318,275781,72526,1.559
train,S3,name,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",5285603,5285603,4473473,575616,10.89,0,95730,412071,141505,557784,105610,3.83
train,S3,name,4,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",5285603,5285603,4273219,1740560,32.93,0,156736,694177,252559,955959,200254,8.135
train,S3,name,5,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),5285603,5285603,4180403,328213,6.21,0,87057,478903,301168,1124704,92816,10.13
train,S3,name,6,legal_removed,"drop legal-form tokens  (= name_base, stored as extra representation)",5285603,5285421,3547497,3321398,62.839,182,415149,1888406,507193,2136636,632906,23.736
test,S1,address,0,raw,original value,1732544,1732544,1677483,0,0.0,0,0,0,0,0,0,0.0
test,S1,address,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",1732544,1732544,1677483,2819,0.163,0,0,0,0,0,0,0.0
test,S1,address,2,lowercase,lower-case,1732544,1732544,1674549,1732544,100.0,0,2814,7401,2814,7401,2934,0.175
test,S1,address,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",1732544,1732544,1674541,820,0.047,0,8,162,2818,7450,8,0.175
test,S1,address,4,placeholder,drop whole segments NULL/null/<NULL>/N/A,1732544,1732544,1674538,73,0.004,0,3,31,2820,7455,3,0.176
test,S1,address,5,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",1732544,1732544,1673789,1732544,100.0,0,745,1773,3546,9074,749,0.22
test,S1,address,6,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),1732544,1732544,1673155,72222,4.169,0,634,1472,4159,10465,634,0.258
test,S1,name,0,raw,original value,1732544,1732544,1238867,0,0.0,0,0,0,0,0,0,0.0
test,S1,name,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",1732544,1732544,1238867,3,0.0,0,0,0,0,0,0,0.0
test,S1,name,2,lowercase,lower-case,1732544,1732544,1238244,1732544,100.0,0,623,2099,623,2099,623,0.05
test,S1,name,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",1732544,1732544,1238244,0,0.0,0,0,0,623,2099,0,0.05
test,S1,name,4,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",1732544,1732544,1227654,249457,14.398,0,9270,63999,9884,66053,10590,0.905
test,S1,name,5,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),1732544,1732544,1226967,40788,2.354,0,683,3703,10565,69751,687,0.961
test,S1,name,6,legal_removed,"drop legal-form tokens  (= name_base, stored as extra representation)",1732544,1732540,1068218,1259435,72.693,4,99581,686849,101797,691979,158749,13.775
test,S2,address,0,raw,original value,4887273,4757865,4224783,0,0.0,0,0,0,0,0,0,0.0
test,S2,address,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",4887273,4757865,4224783,19049,0.4,0,0,0,0,0,0,0.0
test,S2,address,2,lowercase,lower-case,4887273,4757865,4182269,4757865,100.0,0,42513,102742,42513,102742,42514,1.006
test,S2,address,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",4887273,4757865,4182032,82908,1.743,0,237,678,42733,103362,237,1.012
test,S2,address,4,placeholder,drop whole segments NULL/null/<NULL>/N/A,4887273,4757865,4178942,291855,6.134,0,3058,7318,45750,110560,3090,1.085
test,S2,address,5,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",4887273,4757865,4148053,4757687,99.996,0,30445,72675,74848,179117,30889,1.816
test,S2,address,6,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),4887273,4757865,4136073,127672,2.683,0,11957,30080,85206,204906,11980,2.1
test,S2,name,0,raw,original value,4887273,4887273,4311041,0,0.0,0,0,0,0,0,0,0.0
test,S2,name,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",4887273,4887273,4311041,31109,0.637,0,0,0,0,0,0,0.0
test,S2,name,2,lowercase,lower-case,4887273,4887273,4207077,4115494,84.208,0,94882,348732,94882,348732,103964,2.412
test,S2,name,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",4887273,4887273,4129352,500237,10.236,0,72480,283111,145665,502563,77725,4.215
test,S2,name,4,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",4887273,4887273,3995283,1359143,27.81,0,110932,433194,219969,733436,134069,7.324
test,S2,name,5,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),4887273,4887273,3917930,381551,7.807,0,72183,331178,260386,862485,77353,9.119
test,S2,name,6,legal_removed,"drop legal-form tokens  (= name_base, stored as extra representation)",4887273,4886931,3286133,3402166,69.613,342,410709,1801042,483840,1995421,631797,23.774
test,S3,address,0,raw,original value,5082316,4946218,4456435,0,0.0,0,0,0,0,0,0,0.0
test,S3,address,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",5082316,4946218,4456429,18819,0.38,0,6,17,6,17,6,0.0
test,S3,address,2,lowercase,lower-case,5082316,4946218,4450850,4946109,99.998,0,5503,14204,5509,14221,5579,0.125
test,S3,address,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",5082316,4946218,4450182,3289,0.066,0,668,1499,6177,15720,668,0.14
test,S3,address,4,placeholder,drop whole segments NULL/null/<NULL>/N/A,5082316,4946218,4447908,141775,2.866,0,2190,7778,8358,23469,2274,0.191
test,S3,address,5,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",5082316,4946218,4413321,4946074,99.997,0,32495,86556,40041,106110,34587,0.967
test,S3,address,6,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),5082316,4946218,4401042,136104,2.752,0,12260,30972,51304,134415,12279,1.243
test,S3,name,0,raw,original value,5082316,5082316,4521929,0,0.0,0,0,0,0,0,0,0.0
test,S3,name,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",5082316,5082316,4521929,17477,0.344,0,0,0,0,0,0,0.0
test,S3,name,2,lowercase,lower-case,5082316,5082316,4446091,4520085,88.938,0,65679,257895,65679,257895,75838,1.677
test,S3,name,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",5082316,5082316,4357464,519596,10.224,0,80258,333210,129317,480602,88627,3.637
test,S3,name,4,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",5082316,5082316,4201667,1462537,28.777,0,126067,535724,217793,790321,155797,7.082
test,S3,name,5,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),5082316,5082316,4112787,416873,8.202,0,82067,399488,264203,949803,88880,9.048
test,S3,name,6,legal_removed,"drop legal-form tokens  (= name_base, stored as extra representation)",5082316,5081747,3475846,3469198,68.26,569,411992,1798962,484745,1987222,636941,23.134
