split,source,country,form,occurrences,records,per_100_records
test,S2,US,pvt,579,1871330,0.031
test,S2,US,sa,52,1871330,0.003
test,S2,US,sas,9,1871330,0.0
test,S2,US,snc,1,1871330,0.0
test,S3,France,sarl,157562,731615,21.536
test,S3,France,sas,115867,731615,15.837
test,S3,France,eurl,47404,731615,6.479
test,S3,France,sa,39177,731615,5.355
test,S3,France,sasu,35259,731615,4.819
test,S3,France,sci,30869,731615,4.219
test,S3,France,snc,8104,731615,1.108
test,S3,France,co,1042,731615,0.142
test,S3,France,pc,292,731615,0.04
test,S3,France,lp,186,731615,0.025
test,S3,France,corp,58,731615,0.008
test,S3,France,pvt,19,731615,0.003
test,S3,France,inc,9,731615,0.001
test,S3,France,llc,5,731615,0.001
test,S3,France,llp,4,731615,0.001
test,S3,France,ltd,3,731615,0.0
test,S3,France,plc,1,731615,0.0
test,S3,India,ltd,1467876,2405000,61.034
test,S3,India,pvt,1223253,2405000,50.863
test,S3,India,llp,126939,2405000,5.278
test,S3,India,co,77093,2405000,3.206
test,S3,India,corp,47177,2405000,1.962
test,S3,India,sa,353,2405000,0.015
test,S3,India,sas,334,2405000,0.014
test,S3,India,pc,306,2405000,0.013
test,S3,India,lp,176,2405000,0.007
test,S3,India,gmbh,63,2405000,0.003
test,S3,India,sci,38,2405000,0.002
test,S3,India,llc,23,2405000,0.001
test,S3,India,snc,11,2405000,0.0
test,S3,India,plc,9,2405000,0.0
test,S3,India,inc,1,2405000,0.0
test,S3,US,llc,379421,1945701,19.5
test,S3,US,inc,281378,1945701,14.462
test,S3,US,corp,115957,1945701,5.96
test,S3,US,co,87955,1945701,4.52
test,S3,US,ltd,73795,1945701,3.793
test,S3,US,pc,43731,1945701,2.248
test,S3,US,lp,26563,1945701,1.365
test,S3,US,pllc,17168,1945701,0.882
test,S3,US,llp,803,1945701,0.041
test,S3,US,pvt,611,1945701,0.031
test,S3,US,sa,62,1945701,0.003
test,S3,US,sas,10,1945701,0.001
test,S3,US,sci,3,1945701,0.0
test,S3,US,snc,1,1945701,0.0
test,S3,US,plc,1,1945701,0.0
train,S1,India,ltd,667722,883188,75.604
train,S1,India,pvt,553530,883188,62.674
train,S1,India,llp,38640,883188,4.375
train,S1,India,co,26295,883188,2.977
train,S1,India,corp,13778,883188,1.56
train,S1,India,sa,140,883188,0.016
train,S1,India,sas,110,883188,0.012
train,S1,India,pc,108,883188,0.012
train,S1,India,lp,54,883188,0.006
train,S1,India,gmbh,32,883188,0.004
train,S1,India,llc,11,883188,0.001
train,S1,India,sci,10,883188,0.001
train,S1,India,snc,5,883188,0.001
train,S1,India,plc,1,883188,0.0
train,S1,India,inc,1,883188,0.0
train,S1,US,llc,377568,1323633,28.525
train,S1,US,inc,238316,1323633,18.005
train,S1,US,pc,50330,1323633,3.802
train,S1,US,corp,35386,1323633,2.673
train,S1,US,pllc,20531,1323633,1.551
train,S1,US,lp,16509,1323633,1.247
train,S1,US,co,15272,1323633,1.154
train,S1,US,ltd,3217,1323633,0.243
train,S1,US,llp,1086,1323633,0.082
train,S1,US,pvt,435,1323633,0.033
train,S1,US,sa,41,1323633,0.003
train,S1,US,sas,2,1323633,0.0
train,S2,India,ltd,1251911,2017799,62.043
train,S2,India,pvt,1075872,2017799,53.319
train,S2,India,llp,93059,2017799,4.612
train,S2,India,co,64990,2017799,3.221
train,S2,India,corp,42032,2017799,2.083
train,S2,India,sa,354,2017799,0.018
train,S2,India,pc,259,2017799,0.013
train,S2,India,sas,249,2017799,0.012
train,S2,India,lp,117,2017799,0.006
train,S2,India,gmbh,64,2017799,0.003
train,S2,India,sci,27,2017799,0.001
train,S2,India,llc,13,2017799,0.001
train,S2,India,snc,12,2017799,0.001
train,S2,India,plc,5,2017799,0.0
train,S2,India,inc,3,2017799,0.0
train,S2,India,sarl,1,2017799,0.0
train,S2,US,llc,598725,3016817,19.846
train,S2,US,inc,443122,3016817,14.688
train,S2,US,corp,167830,3016817,5.563
train,S2,US,co,111221,3016817,3.687
train,S2,US,ltd,93414,3016817,3.096
train,S2,US,pc,64517,3016817,2.139
train,S2,US,lp,48183,3016817,1.597
train,S2,US,pllc,28212,3016817,0.935
train,S2,US,llp,1247,3016817,0.041
train,S2,US,pvt,747,3016817,0.025
train,S2,US,sa,133,3016817,0.004
train,S2,US,sas,11,3016817,0.0
train,S2,US,snc,2,3016817,0.0
train,S2,US,sci,1,3016817,0.0
train,S2,US,sarl,1,3016817,0.0
train,S3,India,ltd,1262728,2115547,59.688
train,S3,India,pvt,1073986,2115547,50.766
train,S3,India,llp,97850,2115547,4.625
train,S3,India,co,68306,2115547,3.229
train,S3,India,corp,41747,2115547,1.973
train,S3,India,sa,445,2115547,0.021
train,S3,India,pc,275,2115547,0.013
train,S3,India,sas,243,2115547,0.011
train,S3,India,lp,141,2115547,0.007
train,S3,India,gmbh,81,2115547,0.004
train,S3,India,llc,31,2115547,0.001
train,S3,India,sci,27,2115547,0.001
train,S3,India,snc,17,2115547,0.001
train,S3,India,plc,5,2115547,0.0
train,S3,India,inc,3,2115547,0.0
train,S3,India,sarl,1,2115547,0.0
train,S3,US,llc,638320,3170056,20.136
train,S3,US,inc,459124,3170056,14.483
train,S3,US,corp,161900,3170056,5.107
train,S3,US,co,112660,3170056,3.554
train,S3,US,ltd,88276,3170056,2.785
train,S3,US,pc,72608,3170056,2.29
train,S3,US,lp,45975,3170056,1.45
train,S3,US,pllc,30661,3170056,0.967
train,S3,US,llp,1436,3170056,0.045
train,S3,US,pvt,816,3170056,0.026
train,S3,US,sa,152,3170056,0.005
train,S3,US,sas,10,3170056,0.0
train,S3,US,sci,4,3170056,0.0
train,S3,US,snc,2,3170056,0.0
train,S3,US,plc,1,3170056,0.0
