pattern,entity_id,country_clean,business_name_raw,name_clean,business_address_raw,address_clean
name: whole name is a domain (words concatenated),S2-335825003,US,marjoriesantanado.com,marjoriesantanado com,"3142 A24 DOUGLAS AVENUE, SPRINGFIELD, IL",3142 a24 douglas avenue springfield il
name: whole name is a domain (words concatenated),S2-768684246,India,commandvidyalaya.com,commandvidyalaya com,"81 S NO 8/3 NR DANAJAY, BANGLOW BENKAR WASTI, PUNE CITY, Maharashtra",81 s no 8 3 nr danajay banglow benkar wasti pune city maharashtra
name: whole name is a domain (words concatenated),S3-545685534,India,suryainvestment.com,suryainvestment com,"Hn 373/4 Fl-904, Mulshi, Manas Lake, Bldg-3, Sr. No. 218 & Others Pune, Pune, महाराष्ट्र",hn 373 4 fl 904 mulshi manas lake bldg 3 sr no 218 & others pune pune महाराष्ट्र
name: whole name is a domain (words concatenated),S3-571312550,US,Nxtwelve.Com,nxtwelve com,"New York, 2 Terrace Cir, # Apartment 1A, North Hempstead",new york 2 terrace cir apartment 1a north hempstead
name: legal form first token (reordered),S1-641116673,India,CO Connect Pvt Ltd,co connect pvt ltd,"Malappuram, Ground Floor, Kozhikode Palakkad Bypass, Perinthalmanna, Kerala, Malapuram, Room No. 101/3 & 101/4",malappuram ground floor kozhikode palakkad bypass perinthalmanna kerala malapuram room no 101 3 & 101 4
name: legal form first token (reordered),S1-600208399,India,Pc Power Private Limited,pc power private limited,"C/O Upender Bansal, Mohan Puri, Avas Vikas Mt, Meerut, Uttar Pradesh",c o upender bansal mohan puri avas vikas mt meerut uttar pradesh
name: legal form first token (reordered),S2-927303907,US,LLC Hennessey Qdro,llc hennessey qdro,"464085 960 RD, BUNCH, OK",464085 960 rd bunch ok
name: legal form first token (reordered),S2-955730734,India,Private Shaikpet Capital Ltd,private shaikpet capital ltd,"G-2ND FLOOR, PLOT NO755, ROAD NO36, HYDERABAD, SHAIKPET, Telangana",g 2nd floor plot no755 road no36 hyderabad shaikpet telangana
name: legal form first token (reordered),S3-714275237,US,LLC Urgent Caler Anchor Clinic,llc urgent caler anchor clinic,"0614 Sweet Ave, Unit Lot 30, Bismarck, North Dakota",0614 sweet ave unit lot 30 bismarck north dakota
name: legal form first token (reordered),S3-88341122,India,PRIVATE PCS MEDICAL (INDIA) LIMITED,private pcs medical india limited,"A-10/178, Thrissur, KL",a 10 178 thrissur kl
"name: very long token (>= 18 chars, concatenation)",S1-258372920,India,Nandlal Educationalconsultants Private Limited,nandlal educationalconsultants private limited,"R.S.No. 144/218, Bl .No.168/B-1-8 Chamuchhaul, Mangrol, Surat, Gujarat",rsno 144 218 bl no 168 b 1 8 chamuchhaul mangrol surat gujarat
"name: very long token (>= 18 chars, concatenation)",S1-949978863,US,Bushey Vanguard Biopharmaceuticals Inc.,bushey vanguard biopharmaceuticals inc,"9601 169th Avenue, Redmond, WA",9601 169th avenue redmond wa
"name: very long token (>= 18 chars, concatenation)",S2-49942811,US,Delta Tetlecommunication Inc,delta tetlecommunication inc,"914 PIERPONT AVE, CLEVELAND, OH",914 pierpont ave cleveland oh
"name: very long token (>= 18 chars, concatenation)",S2-499198461,US,APRILETTESMASSAGEBELLEROSE.COM,aprilettesmassagebellerose com,"247-26 88 Drive, N/A, BELLEROSE, NY",247 26 88 drive bellerose ny
"name: very long token (>= 18 chars, concatenation)",S3-32897060,US,williamshairstudio.com,williamshairstudio com,"716 Rose Dr, Midwest City, Oklahoma",716 rose dr midwest city oklahoma
"name: very long token (>= 18 chars, concatenation)",S3-120910464,India,tradingvikasprojects.com,tradingvikasprojects com,"#218., Block Bl, Sector Ii, Salt Lake City, Saltlake, North 24 Parganas, WB",218 block bl sector ii salt lake city saltlake north 24 parganas wb
"name: honorific / prefix token (m s, shri, sri, the, dr)",S1-165848896,US,The Dent Massage!,the dent massage,"4408 Stackstone Road, Sevierville, TN",4408 stackstone road sevierville tn
"name: honorific / prefix token (m s, shri, sri, the, dr)",S1-597011888,US,The Dent Seafood Inc,the dent seafood inc,"Bowie, 11260 Westport Drive, MD",bowie 11260 westport drive md
"name: honorific / prefix token (m s, shri, sri, the, dr)",S2-615464322,India,Mr Aanvi  (isdia)private Limited,mr aanvi isdia private limited,"SNO-1-48/2/1, PIMPLE GURAV, PUNE, Maharashtra",sno 1 48 2 1 pimple gurav pune maharashtra
"name: honorific / prefix token (m s, shri, sri, the, dr)",S2-774048672,US,The Eye Associates L.L.C.,the eye associates llc,"HUNTSVILLE, NULL, AL, 10058 TORINO DR",huntsville al 10058 torino dr
"name: honorific / prefix token (m s, shri, sri, the, dr)",S3-476039063,India,Sri Modern Ioinfarscctrue Private Limited,sri modern ioinfarscctrue private limited,"45, Jhandewalan, DL",45 jhandewalan dl
"name: honorific / prefix token (m s, shri, sri, the, dr)",S3-868397091,US,The Dent Barbershop Ltd,the dent barbershop ltd,"00416 Country Club Road, # UNIT 17, Chickasha, Oklahoma",00416 country club road unit 17 chickasha oklahoma
name: repeated token,S1-385878893,India,India Harshvardhan India,india harshvardhan india,"34, Ezra Street, Kolkata, Howrah, West Bengal",34 ezra street kolkata howrah west bengal
name: repeated token,S1-736787132,US,"Mamie Kirksey, DDS, DDS PC",mamie kirksey dds dds pc,"1382 Claxton Ridge Drive, Kernersville, NC",1382 claxton ridge drive kernersville nc
name: repeated token,S2-45507615,US,BED BED PARTNERS,bed bed partners,"SEATTLE, WA, 5427 TWENTIETH AVENUE",seattle wa 5427 twentieth avenue
name: repeated token,S2-961093381,US,ONCOLOGY METRO MEDICINE-LLC MEDICINE-LLC,oncology metro medicine llc medicine llc,"MO, IMPERIAL, 101 SECKMAN SPRING CIRCLE",mo imperial 101 seckman spring circle
name: repeated token,S3-504168499,US,Dermatology Care-Associates Care Holdings,dermatology care associates care holdings,"##314 6th, # 2, Belvidere CITY, Illinois",314 6th 2 belvidere city illinois
name: repeated token,S3-395100615,US,WOMENS HEALTH HARBOR PARTNERS PÁRTNERS PÁRTNERS,womens health harbor partners pártners pártners,"429 Haywood Glen Dr, Knightdale, North Carolina",429 haywood glen dr knightdale north carolina
name: '&' present (vs 'and'),S1-326704888,US,Ear Nose & Throat Tri-State Specialists Associates,ear nose & throat tri state specialists associates,"7804 National Service Road, Greensboro, NC",7804 national service road greensboro nc
name: '&' present (vs 'and'),S1-720468760,US,B & G Exchange,b & g exchange,"354 Claremont Road, Kingsport, TN",354 claremont road kingsport tn
name: '&' present (vs 'and'),S2-121759397,India,seed & co,seed & co,"67/1, KESHAV SMRITI VIVEKANANAD LAXMIPUR MR-4 ROAD BEHIEN, JABALPUR, मध्य प्रदेश",67 1 keshav smriti vivekananad laxmipur mr 4 road behien jabalpur मध्य प्रदेश
name: '&' present (vs 'and'),S2-624751621,India,Ad & Brlcotmhefrs Exports Corp,ad & brlcotmhefrs exports corp,"060 WEST AVANI, MOOLA STREET, MADURAI SOUTH, தமிழ்நாடு",060 west avani moola street madurai south தமிழ்நாடு
name: '&' present (vs 'and'),S3-390731898,US,"Armstrong, Tse  & Duran Inc",armstrong tse & duran inc,"3076 Woodruff Creek Dr, Sherwood, Arkansas",3076 woodruff creek dr sherwood arkansas
name: '&' present (vs 'and'),S3-423473272,US,Zetaxylo F/K/A Doyle & Malik Information LLC,zetaxylo f k a doyle & malik information llc,"47 Lawndale Avenue, Unit APT A, Indianapolis, IN",47 lawndale avenue unit apt a indianapolis in
name: 'and' present,S1-407280565,US,"Hoffman, Atkinson and Brooks Exchange Care",hoffman atkinson and brooks exchange care,"12826 Chenango Avenue, Dakota Ridge, CO",12826 chenango avenue dakota ridge co
name: 'and' present,S1-986280179,US,Bureau of Parks and Recreation,bureau of parks and recreation,"MA, Unit 1, Everett, 215 Hancock Street",ma unit 1 everett 215 hancock street
name: 'and' present,S2-684055122,US,Oliver and Lester Holdings,oliver and lester holdings,"WHEELERSBURG, OH, 8221 GREEN STREET",wheelersburg oh 8221 green street
name: 'and' present,S2-562083919,US,Ward and Lrsuetn Towing LLC,ward and lrsuetn towing llc,,
name: 'and' present,S3-797341423,US,"Stefaniak,-Brown and Stover Toyo",stefaniak brown and stover toyo,"10 Ballantree Dr, Asheville, North Carolina",10 ballantree dr asheville north carolina
name: 'and' present,S3-850919291,US,Arevalo and Canaday Wholesale,arevalo and canaday wholesale,"36768-A Pine Bay Dr, Crosslake, Minnesota",36768 a pine bay dr crosslake minnesota
address: abbreviated street type (st rd ave dr ln blvd r),S1-820394674,India,Indu Trust,indu trust,"1001 Wing-D, Rustomjee, Paramount 18Th Rd, Khar W, Mumbai, Maharashtra",1001 wing d rustomjee paramount 18th rd khar w mumbai maharashtra
address: abbreviated street type (st rd ave dr ln blvd r),S1-349458496,US,Clear Construction Holdings,clear construction holdings,"3706 Nanz Ave, KY, Saint Matthews",3706 nanz ave ky saint matthews
address: abbreviated street type (st rd ave dr ln blvd r),S2-49942811,US,Delta Tetlecommunication Inc,delta tetlecommunication inc,"914 PIERPONT AVE, CLEVELAND, OH",914 pierpont ave cleveland oh
address: abbreviated street type (st rd ave dr ln blvd r),S2-971491700,India,Xl SYSTEMS,xl systems,"DELHI, NORTH WEST, PLOT NO. D1, DR. MUKHERJEE NAGAR, COMMERCIAL COMPLEX, Delhi, OFFICE NO.: B##17",delhi north west plot no d1 dr mukherjee nagar commercial complex delhi office no b 17
address: abbreviated street type (st rd ave dr ln blvd r),S3-188810136,US,Harbor Foundation  III,harbor foundation iii,"#429 Forest Ave, NULL, Oak Park, Illinois",429 forest ave oak park illinois
address: abbreviated street type (st rd ave dr ln blvd r),S3-629247863,US,Empire Rithm [LLC],empire rithm llc,"860 5th St, Broken Arrow, Oklahoma",860 5th st broken arrow oklahoma
address: full street type (street road avenue drive lane boulevard rue),S1-913301865,India,Technologies Pratyaksh Finserve Limited,technologies pratyaksh finserve limited,"Village Kurali, Sabhapur Road Tehsil Bilaspur. Block Sadhoura, Tehsil Bilaspur, Yamuna Nagar, Haryana",village kurali sabhapur road tehsil bilaspur block sadhoura tehsil bilaspur yamuna nagar haryana
address: full street type (street road avenue drive lane boulevard rue),S1-746273151,US,Pediatric Dental Physicians Inc,pediatric dental physicians inc,"53 Laroche Lane, Hebron, ME",53 laroche lane hebron me
address: full street type (street road avenue drive lane boulevard rue),S2-123409799,US,... White Safe Futurecorp LP,white safe futurecorp lp,"4901-4905 LATHROP ROAD, EVANSVILLE, WY",4901 4905 lathrop road evansville wy
address: full street type (street road avenue drive lane boulevard rue),S2-955730734,India,Private Shaikpet Capital Ltd,private shaikpet capital ltd,"G-2ND FLOOR, PLOT NO755, ROAD NO36, HYDERABAD, SHAIKPET, Telangana",g 2nd floor plot no755 road no36 hyderabad shaikpet telangana
address: full street type (street road avenue drive lane boulevard rue),S3-977086194,India,Six Consultancy Infratech Private Limited,six consultancy infratech private limited,"Building No 58, S/f Panchkuian Road, Cannaught Place, Central, Delhi, DL",building no 58 s f panchkuian road cannaught place central delhi dl
address: full street type (street road avenue drive lane boulevard rue),S3-213092687,US,Metro Sunstone,metro sunstone,"1361 1/2 Firethorne Drive, Mason Ciity, Ohio",1361 1 2 firethorne drive mason ciity ohio
address: non-Latin script,S2-121759397,India,seed & co,seed & co,"67/1, KESHAV SMRITI VIVEKANANAD LAXMIPUR MR-4 ROAD BEHIEN, JABALPUR, मध्य प्रदेश",67 1 keshav smriti vivekananad laxmipur mr 4 road behien jabalpur मध्य प्रदेश
address: non-Latin script,S2-138118490,India,Aglow Haaemt Limited,aglow haaemt limited,"B -##106, ARJUN CENTRE, GOVANDI STATION ROAD, BSD MARG DEONAR, GOVANDI -EAST, MUMBAI, MUMBAI, महाराष्ट्र",b 106 arjun centre govandi station road bsd marg deonar govandi east mumbai mumbai महाराष्ट्र
address: non-Latin script,S3-534662788,India,ರಾಮ್ ಬಿಸಿನೆಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,ರಾಮ್ ಬಿಸಿನೆಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Door No. 2-12 A1a, Mezzanine Floor, Gsj Royale Apartment, Udupi, ಕರ್ನಾಟಕ",door no 2 12 a1a mezzanine floor gsj royale apartment udupi ಕರ್ನಾಟಕ
address: non-Latin script,S3-453471914,India,Viojax,viojax,"Plot No 250/1-2-3/9, Surat, Pandesara, ગુજરાત",plot no 250 1 2 3 9 surat pandesara ગુજરાત
address: US state 2-letter code as a token,S1-746273151,US,Pediatric Dental Physicians Inc,pediatric dental physicians inc,"53 Laroche Lane, Hebron, ME",53 laroche lane hebron me
address: US state 2-letter code as a token,S1-612217752,US,Zediis Platinum Independence LLC,zediis platinum independence llc,"884 Pinnacle Hill Road, Kingston Springs, TN",884 pinnacle hill road kingston springs tn
address: US state 2-letter code as a token,S2-49942811,US,Delta Tetlecommunication Inc,delta tetlecommunication inc,"914 PIERPONT AVE, CLEVELAND, OH",914 pierpont ave cleveland oh
address: US state 2-letter code as a token,S2-123409799,US,... White Safe Futurecorp LP,white safe futurecorp lp,"4901-4905 LATHROP ROAD, EVANSVILLE, WY",4901 4905 lathrop road evansville wy
address: US state 2-letter code as a token,S3-423473272,US,Zetaxylo F/K/A Doyle & Malik Information LLC,zetaxylo f k a doyle & malik information llc,"47 Lawndale Avenue, Unit APT A, Indianapolis, IN",47 lawndale avenue unit apt a indianapolis in
address: US state 2-letter code as a token,S3-154475128,US,Onyxnyladrex dba South Ultra Inc,onyxnyladrex dba south ultra inc,"5712 Diamond Valley Drive, Fort Worth, TX",5712 diamond valley drive fort worth tx
address: zero-padded number,S1-584177675,India,Bangalore Vintrade Pvt Ltd,bangalore vintrade pvt ltd,"Ice Queens Amber No.006, 1St Cross, Omkar Nagar, Arekere Mico Layout Bannerghatta Road, Bangalore, Karnataka",ice queens amber no 006 1st cross omkar nagar arekere mico layout bannerghatta road bangalore karnataka
address: zero-padded number,S1-960355473,India,Visionary & Sons Private Limited,visionary & sons private limited,"Ground Floor, Incor Opulence Gunjur Palya Road, Gunjur Village, Varthur, Bangalore, Flat No.G05, Karnataka, Bangalore",ground floor incor opulence gunjur palya road gunjur village varthur bangalore flat no g05 karnataka bangalore
address: zero-padded number,S2-382377359,US,Interstate Ridge Tsak0s L.L.C.,interstate ridge tsak0s llc,"09 FIR LN, INCORPORATED, IL",09 fir ln incorporated il
address: zero-padded number,S2-624751621,India,Ad & Brlcotmhefrs Exports Corp,ad & brlcotmhefrs exports corp,"060 WEST AVANI, MOOLA STREET, MADURAI SOUTH, தமிழ்நாடு",060 west avani moola street madurai south தமிழ்நாடு
address: zero-padded number,S3-303012024,US,Metropolitan Institute,metropolitan institute,"03300 Woodlark Dr, Fort Worth, Texas",03300 woodlark dr fort worth texas
address: zero-padded number,S3-213286015,US,Peak Catasl,peak catasl,"0095 Hickory Rd, Connecticut, Naugatuck",0095 hickory rd connecticut naugatuck
address: 'null'/'none'/'n a' token inside a segment,S2-731273177,India,>> Ss Impex Private Ltd,ss impex private ltd,"MIG 105, GROUP HOUSE, KPH, COLONY, KPHB 9 PHASE NULL, KRISHNA, HYDERABAD, తెలంగాణ",mig 105 group house kph colony kphb 9 phase null krishna hyderabad తెలంగాణ
address: 'null'/'none'/'n a' token inside a segment,S2-688897495,India,Smt CREATIVE TRADERS HOLDINGS PBRVATE LIMITED,smt creative traders holdings pbrvate limited,"Gujarat, NO A-30 PRAGYA ACCELERATOR, GROUND FLOOR, N/A ROAD 1C, BLOCK 15, PRAGYA TOWER, ZONE 1, SEZ-PA, GANDHINAGAR",gujarat no a 30 pragya accelerator ground floor n a road 1c block 15 pragya tower zone 1 sez pa gandhinagar
address: 'null'/'none'/'n a' token inside a segment,S3-365343076,India,My Logistics  Company,my logistics company,"Andheri West, MH, No. 619 N A Chunawala And Co Chunawala Bunglow 333 S V Road, Mumbai",andheri west mh no 619 n a chunawala and co chunawala bunglow 333 s v road mumbai
address: 'null'/'none'/'n a' token inside a segment,S3-632839122,India,Harsh Corp Center,harsh corp center,"N-a-82, Federal Garsdens Pulinchodu, Aluva, Ernakulam, കേരളം",n a 82 federal garsdens pulinchodu aluva ernakulam കേരളം
address: letter-digit mixed token,S1-820394674,India,Indu Trust,indu trust,"1001 Wing-D, Rustomjee, Paramount 18Th Rd, Khar W, Mumbai, Maharashtra",1001 wing d rustomjee paramount 18th rd khar w mumbai maharashtra
address: letter-digit mixed token,S1-548116192,US,EXV Immunopharma Inc,exv immunopharma inc,"733 Pavilion View Drive, Unit A102, Matthews, NC",733 pavilion view drive unit a102 matthews nc
address: letter-digit mixed token,S2-971491700,India,Xl SYSTEMS,xl systems,"DELHI, NORTH WEST, PLOT NO. D1, DR. MUKHERJEE NAGAR, COMMERCIAL COMPLEX, Delhi, OFFICE NO.: B##17",delhi north west plot no d1 dr mukherjee nagar commercial complex delhi office no b 17
address: letter-digit mixed token,S2-955730734,India,Private Shaikpet Capital Ltd,private shaikpet capital ltd,"G-2ND FLOOR, PLOT NO755, ROAD NO36, HYDERABAD, SHAIKPET, Telangana",g 2nd floor plot no755 road no36 hyderabad shaikpet telangana
address: letter-digit mixed token,S3-856590607,India,Raj Black [Marketing],raj black marketing,"No. 707 I-2102 Puneville, Phase-ii, Sr.no. 16P, 17P, 18P, 19P, Pune, Pune City, MH",no 707 i 2102 puneville phase ii sr no 16p 17p 18p 19p pune pune city mh
address: letter-digit mixed token,S3-629247863,US,Empire Rithm [LLC],empire rithm llc,"860 5th St, Broken Arrow, Oklahoma",860 5th st broken arrow oklahoma
"name: letter-digit mixed token (typo such as hea1th, or real e.g. 3m)",S2-760080355,France,4l Grôupe,4l grôupe,"RUE DES POSTES, LILLE, Nord",rue des postes lille nord
"name: letter-digit mixed token (typo such as hea1th, or real e.g. 3m)",S2-82199986,France,3eme Privée Gestion SAS,3eme privée gestion sas,"61 RUE DIDEROT, CALAIS, Pas-de-Calais",61 rue diderot calais pas de calais
address: abbreviated street type (st rd ave dr ln blvd r),S2-800542765,France,Ets Yeux France SAS,ets yeux france sas,"113 BD DE LA LIBERTE, LILLE, Nord",113 bd de la liberte lille nord
address: abbreviated street type (st rd ave dr ln blvd r),S2-343472199,France,Departemental Fetes (France) Sàrl,departemental fetes france sàrl,"28 R. DU BOSQUET, PESSAC, Gironde",28 r du bosquet pessac gironde
