entity_id,split,source,country_clean,business_name_raw,name_norm,name_clean,name_tokens,name_base,name_legal_forms,name_domain,name_script,business_address_raw,address_norm,address_clean,address_segments,address_numbers,postal_code_candidate
S2-940708406,train,S2,India,Devam Rcm Public Límited,devam rcm public límited,devam rcm public límited,devam | rcm | public | límited,devam rcm public,ltd,,Latin,"OLD POST OFFICE STREET GUNPUR, GUNPUR, Orissa","old post office street gunpur, gunpur, orissa",old post office street gunpur gunpur orissa,old post office street gunpur | gunpur | orissa,"",
S2-960876413,train,S2,India,গোল্ড প্রডিউসার স্টোর্স লিমিটেড,গোল্ড প্রডিউসার স্টোর্স লিমিটেড,গোল্ড প্রডিউসার স্টোর্স লিমিটেড,গোল্ড | প্রডিউসার | স্টোর্স | লিমিটেড,গোল্ড প্রডিউসার স্টোর্স,ltd,,Bengali,"69, KOLKATA, HOWRAH, পশ্চিমবঙ্গ","69, kolkata, howrah, পশ্চিমবঙ্গ",69 kolkata howrah পশ্চিমবঙ্গ,69 | kolkata | howrah | পশ্চিমবঙ্গ,69,
S3-188810136,train,S3,US,Harbor Foundation  III,harbor foundation iii,harbor foundation iii,harbor | foundation | iii,harbor foundation iii,"",,Latin,"#429 Forest Ave, NULL, Oak Park, Illinois","#429 forest ave, null, oak park, illinois",429 forest ave oak park illinois,429 forest ave | oak park | illinois,429,
S3-274369307,train,S3,India,রেড টেক প্রাইভেট লিমিটেড,রেড টেক প্রাইভেট লিমিটেড,রেড টেক প্রাইভেট লিমিটেড,রেড | টেক | প্রাইভেট | লিমিটেড,রেড টেক,pvt | ltd,,Bengali,"Plot 0825 37/B/6, Jheel Road Garfa, Howrah, Kolkata, WB","plot 0825 37/b/6, jheel road garfa, howrah, kolkata, wb",plot 0825 37 b 6 jheel road garfa howrah kolkata wb,plot 0825 37 b 6 | jheel road garfa | howrah | kolkata | wb,825 | 37 | 6,
S3-534662788,train,S3,India,ರಾಮ್ ಬಿಸಿನೆಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,ರಾಮ್ ಬಿಸಿನೆಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,ರಾಮ್ ಬಿಸಿನೆಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,ರಾಮ್ | ಬಿಸಿನೆಸ್ | ಪ್ರೈವೇಟ್ | ಲಿಮಿಟೆಡ್,ರಾಮ್ ಬಿಸಿನೆಸ್,pvt | ltd,,Kannada,"Door No. 2-12 A1a, Mezzanine Floor, Gsj Royale Apartment, Udupi, ಕರ್ನಾಟಕ","door no. 2-12 a1a, mezzanine floor, gsj royale apartment, udupi, ಕರ್ನಾಟಕ",door no 2 12 a1a mezzanine floor gsj royale apartment udupi ಕರ್ನಾಟಕ,door no 2 12 a1a | mezzanine floor | gsj royale apartment | udupi | ಕರ್ನಾಟಕ,2 | 12 | 1,
S3-629247863,train,S3,US,Empire Rithm [LLC],empire rithm [llc],empire rithm llc,empire | rithm | llc,empire rithm,llc,,Latin,"860 5th St, Broken Arrow, Oklahoma","860 5th st, broken arrow, oklahoma",860 5th st broken arrow oklahoma,860 5th st | broken arrow | oklahoma,860 | 5,
S3-856590607,train,S3,India,Raj Black [Marketing],raj black [marketing],raj black marketing,raj | black | marketing,raj black marketing,"",,Latin,"No. 707 I-2102 Puneville, Phase-ii, Sr.no. 16P, 17P, 18P, 19P, Pune, Pune City, MH","no. 707 i-2102 puneville, phase-ii, sr.no. 16p, 17p, 18p, 19p, pune, pune city, mh",no 707 i 2102 puneville phase ii sr no 16p 17p 18p 19p pune pune city mh,no 707 i 2102 puneville | phase ii | sr no 16p | 17p | 18p | 19p | pune | pune city | mh,707 | 2102 | 16 | 17 | 18 | 19,
S3-999637845,train,S3,US,Bettina Thomas Hárbor Summit Corporation,bettina thomas hárbor summit corporation,bettina thomas hárbor summit corporation,bettina | thomas | hárbor | summit | corporation,bettina thomas hárbor summit,corp,,Latin,"155 Redstone Hill Road, Bristol, Connecticut","155 redstone hill road, bristol, connecticut",155 redstone hill road bristol connecticut,155 redstone hill road | bristol | connecticut,155,
S1-137870529,test,S1,France,Fédération du Lecole,fédération du lecole,fédération du lecole,fédération | du | lecole,fédération du lecole,"",,Latin,"54 Rue la Perouse, Tourcoing, Hauts-de-France","54 rue la perouse, tourcoing, hauts-de-france",54 rue la perouse tourcoing hauts de france,54 rue la perouse | tourcoing | hauts de france,54,
S1-308849584,test,S1,France,Établissements Portraits,établissements portraits,établissements portraits,établissements | portraits,établissements portraits,"",,Latin,"19 bis Rue Louis Coullet, Mérignac, Nouvelle-Aquitaine","19 bis rue louis coullet, mérignac, nouvelle-aquitaine",19 bis rue louis coullet mérignac nouvelle aquitaine,19 bis rue louis coullet | mérignac | nouvelle aquitaine,19,
S1-468209770,test,S1,India,Lp Institute of Technology,lp institute of technology,lp institute of technology,lp | institute | of | technology,institute of technology,lp,,Latin,"Shop No. 3, Ground Floor, Graficon Arcade, Plot No.153, Sangamwadi, Pune, Maharashtra","shop no. 3, ground floor, graficon arcade, plot no.153, sangamwadi, pune, maharashtra",shop no 3 ground floor graficon arcade plot no 153 sangamwadi pune maharashtra,shop no 3 | ground floor | graficon arcade | plot no 153 | sangamwadi | pune | maharashtra,3 | 153,
S1-475016169,test,S1,India,G.T. Road Rise Private Limited,g.t. road rise private limited,gt road rise private limited,gt | road | rise | private | limited,gt road rise,pvt | ltd,,Latin,"107/3A, Jarib Chowki, G.T. Road, Kanpur, Uttar Pradesh","107/3a, jarib chowki, g.t. road, kanpur, uttar pradesh",107 3a jarib chowki gt road kanpur uttar pradesh,107 3a | jarib chowki | gt road | kanpur | uttar pradesh,107 | 3,
S1-518019591,test,S1,US,Allene's Cascade Law Group,allene's cascade law group,allenes cascade law group,allenes | cascade | law | group,allenes cascade law group,"",,Latin,"2132 Coats Circle, Austin, TX","2132 coats circle, austin, tx",2132 coats circle austin tx,2132 coats circle | austin | tx,2132,
S1-603512987,test,S1,France,École primaire de Pierre,école primaire de pierre,école primaire de pierre,école | primaire | de | pierre,école primaire de pierre,"",,Latin,"68 Rue de la Gaudinière, Nantes, Pays de la Loire","68 rue de la gaudinière, nantes, pays de la loire",68 rue de la gaudinière nantes pays de la loire,68 rue de la gaudinière | nantes | pays de la loire,68,
S1-638312402,test,S1,US,"Emylee's Innovative Architecture, PC","emylee's innovative architecture, pc",emylees innovative architecture pc,emylees | innovative | architecture | pc,emylees innovative architecture,pc,,Latin,"303 3rd Ridge Road, Wallingford, CT","303 3rd ridge road, wallingford, ct",303 3rd ridge road wallingford ct,303 3rd ridge road | wallingford | ct,303 | 3,
S1-842747496,test,S1,India,TF Partnership Limited,tf partnership limited,tf partnership limited,tf | partnership | limited,tf partnership,ltd,,Latin,"X/707, Pallikulam Road, Null, Thrissur, Kerala","x/707, pallikulam road, null, thrissur, kerala",x 707 pallikulam road thrissur kerala,x 707 | pallikulam road | thrissur | kerala,707,
S1-869422569,test,S1,US,"Lynn Needham, P.A.","lynn needham, p.a.",lynn needham pa,lynn | needham | pa,lynn needham pa,"",,Latin,"2734 43rd Street, Redmond, OR","2734 43rd street, redmond, or",2734 43rd street redmond or,2734 43rd street | redmond | or,2734 | 43,
S2-170244057,test,S2,France,Appel & Frèrhs SAS,appel & frèrhs sas,appel & frèrhs sas,appel | & | frèrhs | sas,appel & frèrhs,sas,,Latin,"39 R. DE COULMIERS, NANTES, Loire-Atlantique","39 r. de coulmiers, nantes, loire-atlantique",39 r de coulmiers nantes loire atlantique,39 r de coulmiers | nantes | loire atlantique,39,
S2-292978314,test,S2,France,Environnement Gesthino France [SARL],environnement gesthino france [sarl],environnement gesthino france sarl,environnement | gesthino | france | sarl,environnement gesthino france,sarl,,Latin,"22 R SLYVAIN ROYÉ, NANTES","22 r slyvain royé, nantes",22 r slyvain royé nantes,22 r slyvain royé | nantes,22,
S2-350628155,test,S2,India,यूनिक इन्वेस्टमेंट प्रा. लि.,यूनिक इन्वेस्टमेंट प्रा. लि.,यूनिक इन्वेस्टमेंट प्रा लि,यूनिक | इन्वेस्टमेंट | प्रा | लि,यूनिक इन्वेस्टमेंट,pvt | ltd,,Devanagari,"A- 2/132, PRATEEK APARTMENT, PASCHIM VIHAR, NEW DELHI, Delhi","a- 2/132, prateek apartment, paschim vihar, new delhi, delhi",a 2 132 prateek apartment paschim vihar new delhi delhi,a 2 132 | prateek apartment | paschim vihar | new delhi | delhi,2 | 132,
S2-467501398,test,S2,France,franceculturelle.com,franceculturelle.com,franceculturelle com,franceculturelle | com,franceculturelle com,"",franceculturelle.com,Latin,"6 RUE BON SECOURS, Nantes, Pays de la Loire","6 rue bon secours, nantes, pays de la loire",6 rue bon secours nantes pays de la loire,6 rue bon secours | nantes | pays de la loire,6,
S2-471800381,test,S2,US,@jónesheartland,@jónesheartland,jónesheartland,jónesheartland,jónesheartland,"",,Latin,"5500 YELLOW BIRCH DR, KELLER, TX","5500 yellow birch dr, keller, tx",5500 yellow birch dr keller tx,5500 yellow birch dr | keller | tx,5500,
S2-584492860,test,S2,India,Pvt Grace Kuries Ltd,pvt grace kuries ltd,pvt grace kuries ltd,pvt | grace | kuries | ltd,grace kuries,pvt | ltd,,Latin,"THANJAVUR, தமிழ்நாடு, DOOR NO 127, THANJAVUR","thanjavur, தமிழ்நாடு, door no 127, thanjavur",thanjavur தமிழ்நாடு door no 127 thanjavur,thanjavur | தமிழ்நாடு | door no 127 | thanjavur,127,
S2-673373120,test,S2,India,అర్బన్ ఎనర్జీ ప్రైవేట్ లిమిటెడ్,అర్బన్ ఎనర్జీ ప్రైవేట్ లిమిటెడ్,అర్బన్ ఎనర్జీ ప్రైవేట్ లిమిటెడ్,అర్బన్ | ఎనర్జీ | ప్రైవేట్ | లిమిటెడ్,అర్బన్ ఎనర్జీ,pvt | ltd,,Telugu,"PLOT NO-10, HYDERABAD, TIRUMALAGIRI, Andhra Pradesh","plot no-10, hyderabad, tirumalagiri, andhra pradesh",plot no 10 hyderabad tirumalagiri andhra pradesh,plot no 10 | hyderabad | tirumalagiri | andhra pradesh,10,
S2-793482283,test,S2,US,"Ivy, Howard And Gilbert Vance","ivy, howard and gilbert vance",ivy howard and gilbert vance,ivy | howard | and | gilbert | vance,ivy howard and gilbert vance,"",,Latin,"ADEL, 1144 GROVE ST, N/A, IA","adel, 1144 grove st, n/a, ia",adel 1144 grove st ia,adel | 1144 grove st | ia,1144,
S2-911375648,test,S2,US,PLLC Lorene's Adoisros,pllc lorene's adoisros,pllc lorenes adoisros,pllc | lorenes | adoisros,lorenes adoisros,pllc,,Latin,"2514 ARROYO DOBLE, SAN MARCOS, TX","2514 arroyo doble, san marcos, tx",2514 arroyo doble san marcos tx,2514 arroyo doble | san marcos | tx,2514,
S3-136619053,test,S3,France,Collège Jean SARL,collège jean sarl,collège jean sarl,collège | jean | sarl,collège jean,sarl,,Latin,"30 Rue De Châteaudun, Lille","30 rue de châteaudun, lille",30 rue de châteaudun lille,30 rue de châteaudun | lille,30,
S3-153885777,test,S3,US,CONSOLIDATED TRADING CONSULTANTS LLC,consolidated trading consultants llc,consolidated trading consultants llc,consolidated | trading | consultants | llc,consolidated trading consultants,llc,,Latin,"312 Parkside Rd, NULL, Normal, Illinois","312 parkside rd, null, normal, illinois",312 parkside rd normal illinois,312 parkside rd | normal | illinois,312,
S3-482581656,test,S3,India,Krupa Farmer  Ltd,krupa farmer ltd,krupa farmer ltd,krupa | farmer | ltd,krupa farmer,ltd,,Latin,"Door No 543 139G/A, NULL, Mettupalayam, Coimbatore, TN","door no 543 139g/a, null, mettupalayam, coimbatore, tn",door no 543 139g a mettupalayam coimbatore tn,door no 543 139g a | mettupalayam | coimbatore | tn,543 | 139,
S3-507043143,test,S3,US,Fresh Service Cléaning,fresh service cléaning,fresh service cléaning,fresh | service | cléaning,fresh service cléaning,"",,Latin,"26730 9th Way, Redmonnd, Washington","26730 9th way, redmonnd, washington",26730 9th way redmonnd washington,26730 9th way | redmonnd | washington,26730 | 9,
S3-543902884,test,S3,France,Fédération des Albert,fédération des albert,fédération des albert,fédération | des | albert,fédération des albert,"",,Latin,"#12 Coir Beffe, Hauts-de-France, Lille","#12 coir beffe, hauts-de-france, lille",12 coir beffe hauts de france lille,12 coir beffe | hauts de france | lille,12,
S3-695341943,test,S3,US,Isa Gray Community Eastgate P.C.,isa gray community eastgate p.c.,isa gray community eastgate pc,isa | gray | community | eastgate | pc,isa gray community eastgate,pc,,Latin,"2119 Peter Grant Road, Snow Hill, North Carolina","2119 peter grant road, snow hill, north carolina",2119 peter grant road snow hill north carolina,2119 peter grant road | snow hill | north carolina,2119,
S3-774736455,test,S3,India,डायनामिक कंसल्टेंट्स प्रा. लि.,डायनामिक कंसल्टेंट्स प्रा. लि.,डायनामिक कंसल्टेंट्स प्रा लि,डायनामिक | कंसल्टेंट्स | प्रा | लि,डायनामिक कंसल्टेंट्स,pvt | ltd,,Devanagari,"Shop Number 208, Jhajjar, Bahadurgarh, HR","shop number 208, jhajjar, bahadurgarh, hr",shop number 208 jhajjar bahadurgarh hr,shop number 208 | jhajjar | bahadurgarh | hr,208,
S3-92755938,test,S3,France,Engages Àrt Pharmacie SCI,engages àrt pharmacie sci,engages àrt pharmacie sci,engages | àrt | pharmacie | sci,engages àrt pharmacie,sci,,Latin,"250 R De Lille, Roubaix, Hauts-de-France","250 r de lille, roubaix, hauts-de-france",250 r de lille roubaix hauts de france,250 r de lille | roubaix | hauts de france,250,
S3-960416326,test,S3,India,Private Jain Lakshmi Hospitality Limited,private jain lakshmi hospitality limited,private jain lakshmi hospitality limited,private | jain | lakshmi | hospitality | limited,jain lakshmi hospitality,pvt | ltd,,Latin,"#220-A, Ground Floor, Flat No. 100, Tower-2 Nai Basti, Abul Fazal Enclave Part-1, Ja, Mia Nagar, New Delhi, South Delhi, DL","#220-a, ground floor, flat no. 100, tower-2 nai basti, abul fazal enclave part-1, ja, mia nagar, new delhi, south delhi, dl",220 a ground floor flat no 100 tower 2 nai basti abul fazal enclave part 1 ja mia nagar new delhi south delhi dl,220 a | ground floor | flat no 100 | tower 2 nai basti | abul fazal enclave part 1 | ja | mia nagar | new delhi | south delhi | dl,220 | 100 | 2 | 1,
