split,source,v,len,field,kind
train,S2,10,217946,address,clean tokens
train,S2,18,45977,address,clean tokens
train,S2,5,1386114,address,clean tokens
train,S2,20,22300,address,clean tokens
train,S2,4,202016,address,clean tokens
train,S2,3,14475,address,clean tokens
train,S2,26,1396,address,clean tokens
train,S2,24,3683,address,clean tokens
train,S2,25,2210,address,clean tokens
train,S2,2,126,address,clean tokens
train,S2,22,9581,address,clean tokens
train,S2,14,138480,address,clean tokens
train,S2,28,550,address,clean tokens
train,S2,9,227010,address,clean tokens
train,S2,11,211865,address,clean tokens
train,S2,23,5980,address,clean tokens
train,S2,29,349,address,clean tokens
train,S2,12,194210,address,clean tokens
train,S2,,168967,address,clean tokens
train,S2,16,84043,address,clean tokens
train,S2,17,62816,address,clean tokens
train,S2,21,14815,address,clean tokens
train,S2,19,32698,address,clean tokens
train,S2,15,109118,address,clean tokens
train,S2,13,167769,address,clean tokens
train,S2,7,457942,address,clean tokens
train,S2,30,677,address,clean tokens
train,S3,2,747854,name,raw (whitespace tokens)
train,S3,8,19050,name,raw (whitespace tokens)
train,S3,5,771461,name,raw (whitespace tokens)
train,S3,6,241671,name,raw (whitespace tokens)
train,S3,4,1657974,name,raw (whitespace tokens)
train,S3,3,1380632,name,raw (whitespace tokens)
train,S3,12,111,name,raw (whitespace tokens)
train,S3,11,246,name,raw (whitespace tokens)
train,S3,1,396527,name,raw (whitespace tokens)
train,S3,7,63762,name,raw (whitespace tokens)
train,S3,9,5173,name,raw (whitespace tokens)
train,S3,10,1142,name,raw (whitespace tokens)
train,S3,12,184,name,clean tokens
train,S3,3,1374041,name,clean tokens
train,S3,11,484,name,clean tokens
train,S3,7,77365,name,clean tokens
train,S3,8,34368,name,clean tokens
train,S3,4,1703913,name,clean tokens
train,S3,5,774302,name,clean tokens
train,S3,2,887170,name,clean tokens
train,S3,6,240754,name,clean tokens
train,S3,9,11057,name,clean tokens
train,S3,1,179441,name,clean tokens
train,S3,10,2524,name,clean tokens
train,S3,4,252448,address,raw (whitespace tokens)
train,S3,8,447157,address,raw (whitespace tokens)
train,S3,19,17790,address,raw (whitespace tokens)
train,S3,2,774,address,raw (whitespace tokens)
train,S3,1,1,address,raw (whitespace tokens)
train,S3,16,50783,address,raw (whitespace tokens)
train,S3,13,115936,address,raw (whitespace tokens)
train,S3,17,37045,address,raw (whitespace tokens)
train,S3,7,718836,address,raw (whitespace tokens)
train,S3,14,91050,address,raw (whitespace tokens)
train,S3,9,310259,address,raw (whitespace tokens)
train,S3,,175916,address,raw (whitespace tokens)
train,S3,20,11508,address,raw (whitespace tokens)
train,S3,24,1390,address,raw (whitespace tokens)
train,S3,28,182,address,raw (whitespace tokens)
train,S3,15,68030,address,raw (whitespace tokens)
train,S3,3,81500,address,raw (whitespace tokens)
train,S3,22,4517,address,raw (whitespace tokens)
train,S3,29,104,address,raw (whitespace tokens)
train,S3,30,200,address,raw (whitespace tokens)
train,S3,12,144419,address,raw (whitespace tokens)
train,S3,21,7264,address,raw (whitespace tokens)
train,S3,18,25849,address,raw (whitespace tokens)
train,S3,23,2586,address,raw (whitespace tokens)
train,S3,5,1218266,address,raw (whitespace tokens)
train,S3,26,479,address,raw (whitespace tokens)
train,S3,6,1106905,address,raw (whitespace tokens)
train,S3,11,173597,address,raw (whitespace tokens)
train,S3,25,859,address,raw (whitespace tokens)
train,S3,27,277,address,raw (whitespace tokens)
train,S3,10,219676,address,raw (whitespace tokens)
train,S3,1,1,address,clean tokens
train,S3,16,73176,address,clean tokens
train,S3,,175916,address,clean tokens
train,S3,24,4019,address,clean tokens
train,S3,23,6360,address,clean tokens
train,S3,29,335,address,clean tokens
train,S3,11,180489,address,clean tokens
train,S3,30,672,address,clean tokens
train,S3,5,1174876,address,clean tokens
train,S3,6,1096611,address,clean tokens
train,S3,17,55370,address,clean tokens
train,S3,8,428658,address,clean tokens
train,S3,15,93190,address,clean tokens
train,S3,12,160263,address,clean tokens
train,S3,9,285145,address,clean tokens
train,S3,26,1480,address,clean tokens
train,S3,4,214300,address,clean tokens
train,S3,28,524,address,clean tokens
train,S3,27,925,address,clean tokens
train,S3,7,708688,address,clean tokens
train,S3,25,2407,address,clean tokens
train,S3,22,9733,address,clean tokens
train,S3,13,138457,address,clean tokens
train,S3,19,30323,address,clean tokens
train,S3,14,116134,address,clean tokens
train,S3,3,38213,address,clean tokens
train,S3,21,14591,address,clean tokens
train,S3,18,41607,address,clean tokens
train,S3,20,21224,address,clean tokens
train,S3,10,211393,address,clean tokens
train,S3,2,523,address,clean tokens
